stock_code,name,industry,is_fraud,fraud_year,source
600518,康美药业,医药生物,1,2016-2018,证监会处罚
300104,乐视网,传媒,1,2014-2017,退市
002450,康得新,化工,1,2015-2018,证监会处罚
600634,*ST富控,传媒,1,2016-2019,退市
600696,*ST匹凸,房地产,1,2015-2017,证监会处罚
000760,*ST斯太,汽车,1,2014-2019,退市
600146,*ST环球,商业贸易,1,2015-2020,退市
600807,*ST天业,房地产,1,2016-2018,证监会处罚
000606,*ST顺利,计算机,1,2017-2020,证监会处罚
600093,*ST易见,非银金融,1,2016-2020,证监会处罚
002504,*ST弘高,建筑装饰,1,2015-2019,证监会处罚
600247,*ST成城,商业贸易,1,2014-2019,退市
600145,*ST新亿,化工,1,2015-2021,退市
000585,*ST东电,电气设备,1,2016-2020,退市
600275,*ST昌鱼,农林牧渔,1,2014-2019,退市
600532,宏达矿业,采掘,1,2016-2019,证监会处罚
002188,*ST巴士,传媒,1,2015-2018,证监会处罚
600265,*ST景谷,农林牧渔,1,2014-2019,证监会处罚
000662,*ST天夏,计算机,1,2016-2020,退市
600091,*ST明科,化工,1,2015-2020,退市
600519,贵州茅台,食品饮料,0,,
000858,五粮液,食品饮料,0,,
000568,泸州老窖,食品饮料,0,,
600887,伊利股份,食品饮料,0,,
603288,海天味业,食品饮料,0,,
000333,美的集团,家用电器,0,,
000651,格力电器,家用电器,0,,
600690,海尔智家,家用电器,0,,
601398,工商银行,银行,0,,
601939,建设银行,银行,0,,
601288,农业银行,银行,0,,
600036,招商银行,银行,0,,
601166,兴业银行,银行,0,,
601318,中国平安,非银金融,0,,
600030,中信证券,非银金融,0,,
601601,中国太保,非银金融,0,,
601628,中国人寿,非银金融,0,,
002415,海康威视,电子,0,,
000725,京东方A,电子,0,,
002475,立讯精密,电子,0,,
600703,三安光电,电子,0,,
603986,兆易创新,电子,0,,
600104,上汽集团,汽车,0,,
002594,比亚迪,汽车,0,,
601633,长城汽车,汽车,0,,
600660,福耀玻璃,汽车,0,,
600309,万华化学,化工,0,,
600426,华鲁恒升,化工,0,,
002493,荣盛石化,化工,0,,
600276,恒瑞医药,医药生物,0,,
000538,云南白药,医药生物,0,,
300760,迈瑞医疗,医药生物,0,,
603259,药明康德,医药生物,0,,
000002,万科A,房地产,0,,
600048,保利发展,房地产,0,,
002230,科大讯飞,计算机,0,,
600570,恒生电子,计算机,0,,
000938,紫光股份,计算机,0,,
002027,分众传媒,传媒,0,,
601899,紫金矿业,有色金属,0,,
601088,中国神华,煤炭,0,,
600028,中国石化,石油石化,0,,
601857,中国石油,石油石化,0,,
300750,宁德时代,电力设备,0,,
601012,隆基绿能,电力设备,0,,
300274,阳光电源,电力设备,0,,
600031,三一重工,机械设备,0,,
300124,汇川技术,机械设备,0,,
601006,大秦铁路,交通运输,0,,
601919,中远海控,交通运输,0,,
600585,海螺水泥,建筑材料,0,,
000786,北新建材,建筑材料,0,,
600019,宝钢股份,钢铁,0,,
600900,长江电力,公用事业,0,,
600886,国投电力,公用事业,0,,
000063,中兴通讯,通信,0,,
600941,中国移动,通信,0,,
002714,牧原股份,农林牧渔,0,,
300498,温氏股份,农林牧渔,0,,
601888,中国中免,商贸零售,0,,
